name,address,city,cuisine,unique_id
barbecue kitchen, 1437 virginia ave., atlanta, bbq,678
barbetta, 321 w. 46th st., new york, italian,186
bardellis, 243 ofarrell st., san francisco, old san francisco,455
barney greengrass, 9570 wilshire blvd., beverly hills, american,113
battistas hole in the wall, 4041 audrie st. at flamingo rd., las vegas, italian,426
beaurivage, 26025 pacific coast hwy., malibu, french,114
beesleys of buckhead, 260 e. paces ferry road, atlanta, continental,384
belvedere  the, 9882 little santa monica blvd., beverly hills, pacific new wave,537
ben bensons, 123 w. 52nd st., new york, american,187
benitas frites, 1433 third st. promenade, santa monica, fast food,538
bennys burritos, 93 ave. a, new york city, mexican,604
bernards, 515 s. olive st., los angeles, continental,539
bertolinis, 3500 peachtree rd.  phipps plaza, atlanta, italian,385
bertolinis, 3570 las vegas blvd. s, las vegas, italian,427
betelnut, 2030 union st., san francisco, asian,456
big cup, 228 8th ave.  between 21st and 22nd sts., new york, coffee bar,188
billys, 948 1st ave.  between 52nd and 53rd sts., new york, american,189
bills place, 2315 clement st., san francisco, hamburgers,721
binions coffee shop, 128 fremont st., las vegas, coffee shops/diners,428
bistango, 1100 peachtree st., atlanta, mediterranean,386
bistro 45, 45 s. mentor ave., pasadena, californian,540
bistro  the, 56 e. andrews dr. nw, atlanta, french bistro,679
bistro garden, 176 n. canon dr., los angeles, californian,115
bistro roti, 155 steuart st., san francisco, french,457
bistro, 3400 las vegas blvd. s, las vegas, continental,429
bix, 56 gold st., san francisco, american,458
bizou, 598 fourth st., san francisco, french,459
bobby & junes kountry kitchen, 375 14th st., atlanta, southern/soul,680
boca chica, 13 1st ave.  near 1st st., new york, latin american,190
bolo, 23 e. 22nd st., new york, mediterranean,191
bones, 3130 piedmont road, atlanta, american,76
boonthai, 1393a 2nd ave.  between 72nd and 73rd sts., new york, asian,192
border grill, 4th st., los angeles, mexican,116
boulevard, 1 mission st., san francisco, american,96
bouterin, 420 e. 59th st.  off 1st ave., new york, french,193
bradshaws restaurant, 2911 s. pharr court, atlanta, southern/soul,681
brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, french,77
brents deli, 19565 parthenia ave., northridge, delis,541
brighton coffee shop, 9600 brighton way, beverly hills, coffee shops,542
bristol farms market cafe, 1570 rosecrans ave. s., pasadena, californian,543
broadway deli, 3rd st. promenade, santa monica, american,117
broiler, 4111 boulder hwy., las vegas, american,430
brookhaven cafe, 4274 peachtree rd., atlanta, vegetarian,682
brothers bar-b-q, 225 varick st. at clarkston st., new york, american,194
bruno, 240 e. 58th st., new york, italian,195
brunos, 3838 centinela ave., mar vista, italian,544
bryant park grill  roof restaurant and bp cafe, 25 w. 40th st.  between 5th and 6th aves., new york, american,196
buca giovanni, 800 greenwich st., san francisco, italian,460
buccaneer bay club, 3300 las vegas blvd. s., las vegas, continental,657
buckhead diner, 3073 piedmont road, atlanta, american,78
bugsys diner, 3555 las vegas blvd. s, las vegas, coffee shops/diners,431
buzios in the rio, 3700 w. flamingo rd., las vegas, seafood,658
c3, 103 waverly pl.  near washington sq., new york, american,197
cafe  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, ext 6108 international,89
cafe adriano, 3347 fillmore st., san francisco, italian,461
cafe bianco, 1486 2nd ave.  between 77th and 78th sts., new york, coffee bar,199
cafe bizou, 14016 ventura blvd., sherman oaks, french,3
cafe blanc, 9777 little santa monica blvd., beverly hills, pacific new wave,546
cafe botanica, 160 central park s, new york, french,200
cafe centro, 200 park ave.  between 45th st. and vanderbilt ave., new york, french,204
cafe claude, 7 claude la., san francisco, french,97
cafe con leche, 424 amsterdam ave., new york city, cuban,605
cafe des artistes, 1 w. 67th st., new york, continental,27
cafe fes, 246 w. 4th st. at charles st., new york, mediterranean,205
cafe flore, 2298 market st., san francisco, californian,722
cafe la fortuna, 69 w. 71st st., new york, coffee bar,201
cafe lalo, 201 w. 83rd st., new york, coffee bar,26
cafe luxembourg, 200 w. 70th st., new york, french,202
cafe marimba, 2317 chestnut st., san francisco, mexican/latin american/spanish,462
cafe michelle, 1350 e. flamingo rd., las vegas, american,432
cafe pierre, 2 e. 61st st., new york, french,203
cafe pinot, 700 w. fifth st., los angeles, californian,120
cafe renaissance, 7050 jimmy carter blvd.  norcross, atlanta, american,387
cafe roma, 3570 las vegas blvd. s, las vegas, coffee shops/diners,433
cafe sunflower, 5975 roswell rd., atlanta, health food,683
cafe 50s, 838 lincoln blvd., venice, american,545
caffe bondi ristorante, 7 w. 20th st., new york, italian,212
caffe dante, 81 macdougal st.  between houston and bleeker sts., new york, coffee bar,206
caffe dellartista, 46 greenwich ave., new york, coffee bar,207
caffe greco, 423 columbus ave., san francisco, continental,723
caffe lure, 169 sullivan st.  between houston and bleecker sts., new york, french,208
caffe reggio, 119 macdougal st.  between 3rd and bleecker sts., new york, coffee bar,209
caffe roma, 385 broome st. at mulberry, new york, coffee bar,210
caffe vivaldi, 32 jones st. at bleecker st., new york, coffee bar,211
california culinary academy, 625 polk st., san francisco, french,463
california pizza kitchen, 207 s. beverly dr., los angeles, californian,121
camilles, 1186 n. highland ave., atlanta, italian,388
campanile, 624 s. la brea ave., los angeles, american,4
campo santo, 240 columbus ave., san francisco, mexican,724
campton place, 340 stockton st., san francisco, american,98
canoe, 4199 paces ferry rd., atlanta, american (new),684
canters, 419 n. fairfax ave., los angeles, american,122
capozzolis, 3333 s. maryland pkwy., las vegas, italian,434
capps corner, 1600 powell st., san francisco, italian,464
capsouto freres, 451 washington st.  near watts st., new york, french,213
captains table, 860 2nd ave. at 46th st., new york, seafood,214
careys corner, 1215 powers ferry rd., marietta, hamburgers,686
careys, 1021 cobb pkwy. se, marietta, hamburgers,685
carmines, 2450 broadway  between 90th and 91st sts., new york, italian,28
carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, delicatessen,29
carnival world, 3700 w. flamingo rd., las vegas, buffets,435
carta, 1772 market st., san francisco, american,465
casa la femme, 150 wooster st.  between houston and prince sts., new york, middle eastern,215
cassells, 3266 w. sixth st., la, hamburgers,547
cassis, 3300 peachtree rd.  grand hyatt, atlanta, mediterranean,389
cava, 3rd st., los angeles, mediterranean,123
cabrea, 346 s. la brea ave., los angeles, italian,118
cadel sol, 4100 cahuenga blvd., los angeles, italian,119
cendrillon asian grill & marimba bar, 45 mercer st.  between broome and grand sts., new york, asian,216
center stage plaza hotel, 1 main st., las vegas, american,436
cha cha cha, 656 n. virgil ave., los angeles, caribbean,124
cha cha chas, 1805 haight st., san francisco, caribbean,725
chan dara, 310 n. larchmont blvd., los angeles, asian,125
chanterelle, 2 harrison st.  near hudson st., new york, american,30
chevys, 4th and howard sts., san francisco, mexican/latin american/spanish,466
chez jacqueline, 72 macdougal st.  between w. houston and bleecker sts., new york, french,217
chez melange, 1716 pch, redondo beach, eclectic,548
chez michel, 804 northpoint, san francisco, french,99
chiam, 160 e. 48th st., new york, asian,218
china grill, 60 w. 53rd st., new york, american,219
chinois on main, 2709 main st., santa monica, french,5
chins, 3200 las vegas blvd. s, las vegas, asian,67
chopstix, 4279 roswell rd., atlanta, chinese,688
chops, 70 w. paces ferry rd., atlanta, steakhouses,687
ciboulette, 1529 piedmont ave., atlanta, french,79
circus circus, 2880 las vegas blvd. s, las vegas, buffets,437
cite, 120 w. 51st st., new york, french,220
citrus, 6703 melrose ave., los angeles, californian,6
city grill, 50 hurt plaza, atlanta, international,390
clearwater cafe, 168 w. colorado blvd., los angeles, health food,126
coco loco, 40  buckhead crossing mall on the sidney marcus blvd., atlanta, caribbean,391
coco pazzo, 23 e. 74th st., new york, italian,221
colonnade restaurant, 1879 cheshire bridge rd., atlanta, southern,392
columbus bakery, 53rd sts., new york, coffee bar,222
corner bistro, 331 w. fourth st., new york city, hamburgers,606
corrado cafe, 1013 3rd ave.  between 60th and 61st sts., new york, coffee bar,223
coyote cafe, 3799 las vegas blvd. s, las vegas, southwestern,68
ct, 111 e. 22nd st.  between park ave. s and lexington ave., new york, french,198
cucina della fontana, 368 bleecker st., new york city, italian,607
cucina di pesce, 87 e. fourth st., new york city, seafood,608
cupcake cafe, 522 9th ave. at 39th st., new york, coffee bar,224
cypress club, 500 jackson st., san francisco, american,467
da nico, 164 mulberry st.  between grand and broome sts., new york, italian,225
daniel, 20 e. 76th st., new york, french,31
dantes down the hatch  buckhead, 3380 peachtree rd., atlanta, continental,393
dantes down the hatch, underground underground mall  underground atlanta, atlanta, continental,394
darbar, 44 w. 56th st., new york city, indian,609
dawat, 210 e. 58th st., new york, asian,32
deacon burtons soulfood restaurant, 1029 edgewood ave. se, atlanta, southern/soul,689
dean & deluca, 121 prince st., new york, coffee bar,226
delectables, 1 margaret mitchell sq., atlanta, american,80
des alpes, 732 broadway, san francisco, french,468
diaghilev, 1020 n. san vicente blvd., w. hollywood, russian,549
dining room  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, international,90
dining room, 9500 wilshire blvd., los angeles, californian,127
diva, 341 w. broadway  near grand st., new york, italian,227
dive!, 10250 santa monica blvd., los angeles, dive american,128
dix et sept, 181 w. 10th st., new york, french,228
docks, 633 3rd ave. at 40th st., new york, seafood,229
doidges, 2217 union st., san francisco, american,726
don antonios, 1136 westwood blvd., westwood, italian,550
dotties true blue cafe, 522 jones st., san francisco, diners,727
drago, 2628 wilshire blvd., santa monica, italian,129
drais, 730 n. la cienega blvd., los angeles, french,130
duane park cafe, 157 duane st.  between w. broadway and hudson st., new york, american,230
dukes, 8909 sunset blvd., w. hollywood, coffee shops,551
dusit thai, 3221 mission st., san francisco, thai,728
dynasty room, 930 hilgard ave., los angeles, continental,131
eats, 600 ponce de leon ave., atlanta, italian,690
ebisu, 1283 ninth ave., san francisco, japanese,729
eclipse, 8800 melrose ave., los angeles, californian,132
ed debevics, 134 n. la cienega, los angeles, american,133
edison cafe, 228 w. 47th st., new york city, diners,611
ejs luncheonette, 432 sixth ave., new york city, diners,610
el cholo, 1121 s. western ave., los angeles, mexican,134
el teddys, 219 w. broadway  between franklin and white sts., new york, mexican,231
elias corner, 24-02 31st st., queens, greek,612
emerald garden restaurant, 1550 california st., san francisco, vietnamese,730
emerils new orleans fish house, 3799 las vegas blvd. s., las vegas, seafood,659
emilys, 1325 5th ave. at 111th st., new york, american,232
empire korea, 6 e. 32nd st., new york, asian,233
empress court, 3570 las vegas blvd. s, las vegas, asian,438
erics chinese restaurant, 1500 church st., san francisco, chinese,731
ernies, 2150 broadway  between 75th and 76th sts., new york, american,234
evergreen cafe, 1288 1st ave. at 69th st., new york, asian,235
falafel king, 1059 broxton ave., westwood, middle eastern,552
fat matts rib shack, 1811 piedmont ave.  near cheshire bridge rd., atlanta, barbecue,395
faz, 161 sutter st., san francisco, greek and middle eastern,469
feast from the east, 1949 westwood blvd., west la, chinese,553
feast, 2411 w. sahara ave., las vegas, buffets,439
felidia, 243 e. 58th st., new york, italian,33
felix, 340 w. broadway at grand st., new york, french,237
fenix, 8358 sunset blvd. west, hollywood, american,7
ferrier, 29 e. 65th st., new york, french,238
fifty seven fifty seven, 57 e. 57th st., new york, american,239
film center cafe, 635 9th ave.  between 44th and 45th sts., new york, american,240
fiore rotisserie & grille, 3700 w. flamingo rd., las vegas, italian,660
fiorellos roman cafe, 1900 broadway  between 63rd and 64th sts., new york, italian,241
firehouse, 522 columbus ave.  between 85th and 86th sts., new york, american,242
first, 87 1st ave.  between 5th and 6th sts., new york, american,243
fishin eddie, 73 w. 71st st., new york, seafood,244
fleur de jour, 348 e. 62nd st., new york, coffee bar,245
fleur de lys, 777 sutter st., san francisco, french,100
flowers, 21 west 17th st.  between 5th and 6th aves., new york, american,246
flying biscuit  the, 1655 mclendon ave., atlanta, eclectic,691
fog city diner, 1300 battery st., san francisco, american,470
follonico, 6 w. 24th st., new york, italian,247
four seasons grill room, 99 e. 52nd st., new york, american,34
fraunces tavern, 54 pearl st. at broad st., new york, american,248
french quarter food shop, 923 peachtree st.  at 8th st., atlanta, southern,396
french roast cafe, 2340 broadway at 85th st., new york, coffee bar,250
french roast, 458 6th ave. at 11th st., new york, french,249
frico bar, 402 w. 43rd st.  off 9th ave., new york, italian,251
frijoleros, 1031 peachtree st. ne, atlanta, tex-mex,692
fringale, 570 4th st., san francisco, french,101
fujiyama mama, 467 columbus ave.  between 82nd and 83rd sts., new york, asian,252
f. ille ponte ristorante, 39 desbrosses st.  near west st., new york, italian,236
gabrielas, 685 amsterdam ave. at 93rd st., new york, mexican,253
gallaghers, 228 w. 52nd st., new york, american,254
garden court, market and new montgomery sts., san francisco, old san francisco,471
gaylords, ghirardelli sq., san francisco, asian,472
georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, american,81
giannis, 15 fulton st., new york, seafood,255
gillilands, 2424 main st., santa monica, american,135
girafe, 208 e. 58th st.  between 2nd and 3rd aves., new york, italian,256
gladstones, 4 fish 17300 pacific coast hwy. at sunset blvd., pacific palisades, american,136
global, 33 93 2nd ave.  between 5th and 6th sts., new york, american,257
golden nugget hotel, 129 e. fremont st., las vegas, buffets,440
golden steer, 308 w. sahara ave., las vegas, steak houses,441
golden unicorn, 18 e. broadway at catherine st., new york, asian,258
good enough to eat, 483 amsterdam ave., new york city, american,613
gotham bar & grill, 12 e. 12th st., new york, american,35
gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, american,36
grand cafe hotel monaco, 501 geary st., san francisco, american,473
grand ticino, 228 thompson st.  between w. 3rd and bleecker sts., new york, italian,259
granita, 23725 w. malibu rd., malibu, californian,8
grays papaya, 2090 broadway, new york city, hot dogs,614
greens, bldg. a fort mason, san francisco, vegetarian,474
greenwoods, 1087 green st., roswell, southern/soul,693
grill on the alley, 9560 dayton way, los angeles, american,9
gumbo pot  the, 6333 w. third st., la, cajun/creole,554
halcyon, 151 w. 54th st.  in the rihga royal hotel, new york, american,260
hamburger marys, 1582 folsom st., san francisco, hamburgers,732
harbor village, 4 embarcadero center, san francisco, asian,475
hard rock cafe, 8600 beverly blvd., los angeles, american,137
hard rock cafe, 221 w. 57th st., new york, american,261
harolds barbecue, 171 mcdonough blvd., atlanta, bbq,694
harris, 2100 van ness ave., san francisco, steak houses,476
harry dentons, 161 steuart st., san francisco, american,477
harrys bar & american grill, 2020 ave. of the stars, los angeles, italian,138
havana sandwich shop, 2905 buford hwy., atlanta, cuban,695
hawthorne lane, 22 hawthorne st., san francisco, american,102
hayes street grill, 320 hayes st., san francisco, seafood,478
hedgerose heights inn, 490 e. paces ferry rd., atlanta, international,82
heera of india, 595 piedmont ave.  rio shopping mall, atlanta, asian,83
helmand, 430 broadway, san francisco, greek and middle eastern,479
hi-life restaurant and lounge, 1340 1st ave. at 72nd st., new york, american,262
hollywood hills coffee shop, 6145 franklin ave., hollywood, coffee shops,555
holt bros. bar-b-q, 6359 jimmy carter blvd.  at buford hwy.  norcross, atlanta, barbecue,397
home, 20 cornelia st.  between bleecker and w. 4th st., new york, american,263
hong kong flower lounge, 5322 geary blvd., san francisco, asian,480
hong kong villa, 2332 clement st., san francisco, asian,481
horseradish grill, 4320 powers ferry rd., atlanta, southern,398
hotel bel-air, 701 stone canyon rd., bel air, californian,2
house of chan, 2469 cobb pkwy., smyrna, chinese,696
hsus gourmet, 192 peachtree center ave.  at international blvd., atlanta, asian,399
hudson river club, 4 world financial center, new york, american,264
hugos cellar, 202 e. fremont st., las vegas, continental,661
hyde street bistro, 1521 hyde st., san francisco, italian,482
i trulli, 122 e. 27th st.  between lexington and park aves., new york, italian,265
il cortile, 125 mulberry st.  between canal and hester sts., new york, italian,266
il fornaio cucina italiana, 301 n. beverly dr., los angeles, italian,139
il fornaio levis plaza, 1265 battery st., san francisco, italian,483
il mulino, 86 w. third st., new york city, italian,615
il nido, 251 e. 53rd st., new york, italian,267
imperial fez, 2285 peachtree rd.  peachtree battle condominium, atlanta, mediterranean,400
inca grill, 492 broome st.  near w. broadway, new york, latin american,268
indian delights, 3675 satellite blvd., duluth, indian,697
indigo coastal grill, 1397 n. highland ave., atlanta, caribbean,84
indo cafe, 10428 1/2 national blvd., la, indonesian,556
indochine, 430 lafayette st.  between 4th st. and astor pl., new york, asian,269
internet cafe, 82 e. 3rd st.  between 1st and 2nd aves., new york, coffee bar,270
ipanema, 13 w. 46th st., new york, latin american,271
island spice, 402 w. 44th st., new york, tel caribbean,37
izzys steak & chop house, 3345 steiner st., san francisco, steak houses,484
jack sprats grill, 10668 w. pico blvd., los angeles, health food,140
jackson diner, 37-03 74th st., queens, indian,616
jacksons farm, 439 n. beverly drive, los angeles, californian,141
jacks, 615 sacramento st., san francisco, old san francisco,485
jans family restaurant, 8424 beverly blvd., la, coffee shops,557
java jive, 790 ponce de leon ave., atlanta, coffee shops,698
jean lafitte, 68 w. 58th st., new york, french,272
jewel of india, 15 w. 44th st., new york, asian,273
jimmy sungs, 219 e. 44th st.  between 2nd and 3rd aves., new york, asian,274
jimmys, 201 moreno dr., los angeles, continental,142
jiraffe, 502 santa monica blvd, santa monica, californian,558
jo jo, 160 e. 64th st., new york, american,38
jody maronis sausage kingdom, 2011 ocean front walk, venice, hot dogs,559
joe allen, 326 w. 46th st., new york, american,275
joes shanghai, 9 pell st., queens, chinese,617
joes, 1023 abbot kinney blvd., venice, american (new),560
john ogroats, 10516 w. pico blvd., west la, coffee shops,561
johnnies pastrami, 4017 s. sepulveda blvd., culver city, delis,562
johnny rebs southern smokehouse, 4663 long beach blvd., long beach, southern/soul,563
johnny rockets (at), 2970 cobb pkwy., atlanta, american,699
johnny rockets (la), 7507 melrose ave., la, american,564
johns pizzeria, 48 w. 65th st., new york city, pizza,618
joss, 9255 sunset blvd., los angeles, asian,143
judson grill, 152 w. 52nd st., new york, american,276
kabuto sushi, 5116 geary blvd., san francisco, asian,486
kalos coffee house, 1248 clairmont rd., decatur, coffeehouses,700
kamogawa, 3300 peachtree rd.  grand hyatt, atlanta, asian,401
katias, 600 5th ave., san francisco, ,487
kelley & ping, 127 greene st., new york city, pan-asian,619
kellys on trinity, 333 bush st., san francisco, californian,733
khan toke thai house, 5937 geary blvd., san francisco, asian,103
kiev, 117 second ave., new york city, ukrainian,620
killer shrimp, 4000 colfax ave., studio city, seafood,565
kokomo cafe, 6333 w. third st., la, american,566
koo koo roo, 8393 w. beverly blvd., la, chicken,567
kuletos, 221 powell st., san francisco, italian,488
kuruma zushi, 2nd fl., new york city, japanese,621
kyo-ya. sheraton palace hotel, 2 new montgomery st.  at market st., san francisco, asian,489
la cachette, 10506 little santa monica blvd., century city, french (new),568
la caravelle, 33 w. 55th st., new york, french,39
la caridad, 2199 broadway, new york city, cuban,622
la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, french,40
la cumbre, 515 valencia st., san francisco, mexican,734
la folie, 2316 polk st., san francisco, french,104
la fonda latina, 4427 roswell rd., atlanta, spanish,701
la grenouille, 3 e. 52nd st., new york city, french (classic),623
la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia  dunwoody, atlanta, italian,402
la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, italian,85
la mediterranee, 288 noe st., san francisco, mediterranean,735
la reserve, 4 w. 49th st., new york, french,281
la salsa (la), 22800 pch, malibu, mexican,569
la serenata de garibaldi, 1842 e. first, st. boyle hts., mexican/tex-mex,570
la taqueria, 2889 mission st., san francisco, mexican,736
langers, 704 s. alvarado st., la, delis,571
lanza restaurant, 168 1st ave.  between 10th and 11th sts., new york, italian,282
lattanzi ristorante, 361 w. 46th st., new york, italian,283
layla, 211 w. broadway at franklin st., new york, middle eastern,284
le bernardin, 155 w. 51st st., new york, french,41
le central, 453 bush st., san francisco, french,491
le chantilly, 106 e. 57th st., new york, french,285
le chardonnay, 8284 melrose ave., los angeles, french,12
le colonial, 8783 beverly blvd., los angeles, asian,144
le colonial, 149 e. 57th st., new york, asian,286
le dome, 8720 sunset blvd., los angeles, french,145
le gamin, 50 macdougal st.  between houston and prince sts., new york, coffee bar,287
le jardin, 25 cleveland pl.  near spring st., new york, french,288
le madri, 168 w. 18th st., new york, italian,289
le marais, 150 w. 46th st., new york, american,290
le montrachet, 3000 w. paradise rd., las vegas, continental,69
le perigord, 405 e. 52nd st., new york, french,291
le select, 507 columbus ave.  between 84th and 85th sts., new york, american,292
le soleil, 133 clement st., san francisco, asian,492
lemongrass grill, 61a seventh ave., brooklyn, thai,624
les celebrites, 160 central park s, new york, french,42
les halles, 411 park ave. s  between 28th and 29th sts., new york, french,293
lespinasse, 2 e. 55th st., new york, american,43
lettuce souprise you (at), 3525 mall blvd., duluth, cafeterias,702
lillie langtrys, 129 e. fremont st., las vegas, asian,442
lincoln tavern, 51 w. 64th st., new york, american,294
little szechuan, c buford hwy.  northwoods plaza  doraville, atlanta, asian,403
local nochol, 30869 thousand oaks blvd., westlake village, health food,572
locanda veneta, 3rd st., los angeles, italian,13
lola, 30 west 22nd st.  between 5th and 6th ave., new york, american,295
lombardis, 32 spring st., new york city, pizza,625
louises trattoria, 4500 los feliz blvd., los angeles, italian,146
lowcountry barbecue, 6301 roswell rd.  sandy springs plaza  sandy springs, atlanta, barbecue,404
lucky strike, 59 grand st.  between wooster st. and w. broadway, new york, or 212/941-0772 american,296
lulu, 816 folsom st., san francisco, mediterranean,105
luna si, 1931 peachtree rd., atlanta, continental,405
lutece, 249 e. 50th st., new york, french,44
labsinthe, 227 e. 67th st., new york, french,277
lauberge du midi, 310 w. 4th st.  between w. 12th and bank sts., new york, french,279
lauberge, 1191 1st ave.  between 64th and 65th sts., new york, middle eastern,278
lorangerie, 903 n. la cienega blvd., los angeles, french,11
losteria del forno, 519 columbus ave., san francisco, italian,490
ludo, 432 lafayette st.  near astor pl., new york, french,280
macarthur park, 607 front st., san francisco, american,493
mad fish, 2182 broadway  between 77th and 78th sts., new york, seafood,297
madame chings, 3300 las vegas blvd. s., las vegas, asian,662
main course  the, 10509 w. pico blvd., rancho park, american,573
main street, 446 columbus ave.  between 81st and 82nd sts., new york, american,298
majestic, 1031 ponce de leon ave., atlanta, diners,703
mambo restaurante cubano, 1402 n. highland ave., atlanta, caribbean,406
mandarin court, 1510 e. flamingo rd., las vegas, asian,443
mangia e bevi, 800 9th ave. at 53rd st., new york, italian,299
manhattan cafe, 1161 1st ave.  between 63rd and 64th sts., new york, american,300
manhattan ocean club, 57 w. 58th st., new york, seafood,45
manila garden, 325 e. 14th st.  between 1st and 2nd aves., new york, asian,301
manis bakery & espresso bar, 519 s. fairfax ave., la, desserts,574
manora, 3226 mission st., san francisco, asian,494
march, 405 e. 58th st., new york, american,46
margaritas mexican cantina, 3120 las vegas blvd. s, las vegas, mexican,444
marichu, 342 e. 46th st.  between 1st and 2nd aves., new york, french,302
marios bohemian cigar store cafe, 2209 polk st., san francisco, italian,737
marnee thai, 2225 irving st., san francisco, thai,738
marnies noodle shop, 466 hudson st., new york city, asian,626
marquet patisserie, 15 e. 12th st.  between 5th ave. and university pl., new york, coffee bar,303
marthas, 22nd street grill 25 22nd, st. hermosa beach, american,575
mary macs tea room, 224 ponce de leon ave., atlanta, southern,86
marys diner, 5111 w. boulder hwy., las vegas, coffee shops/diners,445
masas, 648 bush st., san francisco, french,106
match, 160 mercer st.  between houston and prince sts., new york, american,304
matsuhisa, 129 n. la cienega blvd., beverly hills, asian,14
matthews, 1030 3rd ave. at 61st st., new york, american,305
mavalli palace, 46 e. 29th st., new york, asian,306
maxwells cafe, 13329 washington blvd., marina del rey, american,576
mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese,663
maykadeh, 470 green st., san francisco, greek and middle eastern,495
mccormick & kuletos, ghirardelli sq., san francisco, seafood,496
mckinnons louisiane, 3209 maple dr., atlanta, southern,407
mels drive-in, 3355 geary st., san francisco, hamburgers,739
menchanko-tei, 39 w. 55th st., new york city, japanese,627
mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american,47
mi cocina, 57 jane st.  off hudson st., new york, mexican,48
mi spia dunwoody rd., park place  across from perimeter mall  dunwoody, atlanta, italian,408
michaels (las vegas), 3595 las vegas blvd. s., las vegas, continental,664
michaels (los angeles), 1147 third st., santa monica, californian,577
mifune japan center  kintetsu building, 1737 post st., san francisco, asian,107
mikado, 3400 las vegas blvd. s, las vegas, asian,446
milan cafe and coffee bar, 120 w. 23rd st., new york, coffee bar,307
millennium, 246 mcallister st., san francisco, vegetarian,497
mishima, 8474 w. third st., la, noodle shops,578
mitali east-west, 296 bleecker st., new york city, indian,628
mo better meatty meat, 7261 melrose ave., la, hamburgers,579
mon kee seafood restaurant, 679 n. spring st., los angeles, asian,147
monkey bar, 60 e. 54th st., new york, american,308
monsoon (ny), 435 amsterdam ave., new york city, thai,629
monte carlo, 3145 las vegas blvd. s., las vegas, french (new),665
montien, 1134 1st ave.   between 62nd and 63rd sts., new york, asian,309
montrachet, 239 w. broadway  between walker and white sts., new york, french,49
moongate, 3400 las vegas blvd. s., las vegas, chinese,666
mooses, 1652 stockton st., san francisco, mediterranean,498
mortons of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses,704
mortons of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses,667
mortons, 8764 melrose ave., los angeles, american,148
mortons, 551 5th ave. at 45th st., new york, american,310
motown cafe, 104 w. 57th st.  near 6th ave., new york, american,311
moustache, 405 atlantic ave., brooklyn, middle eastern,630
mos burgers, 1322 grant st., san francisco, hamburgers,740
