id,title,description,manufacturer,price
b000jgf410,money premium 2007 win32 eng na mini box us only cd,model- ms-cd19382wi vendor- microsoft corporation features- microsoft money premium 2007- cd mini box microsoft money 2007 premium brings all your personal accounts -- banking credit and investment -- in one place and provides the tools you need for planning and achieving short- and long-term financial goals and making tax-smart investment decisions so you can improve your financial outlook today and optimize for your future. * includes everything in money 2007 deluxe - make online banking even easier with all of your accounts--checking savings investments and credit -- in one place with one password which makes keeping tabs on the day-to-day spending a breeze. plus money connects to thousands of banks and updates automatically helping you easily stay on top of your finances. - improve your investment strategy with access to tips guidance and relevant articles from the highly regarded experts on msn money. - new! savings and spending budget helps you plan for retirement savings and debt repayment as well as your monthly expenses. its the comprehensive budget solution that helps you see your savings grow and your debt shrink. - new! spending tracker allows you to track your spending by budget groups. view alongside the popular spending by category tracker for amazing awareness of your spending. - help protect and improve your credit reduce high-interest debt and learn more about your credit rating. - forecast your cash flow to predict how much money youll have in your day-to-day accounts in the coming months. - simplify tax time. money makes preparing and filing taxes easy with expert tips from tax professionals. tools such as the,microsoft,118.46
b000ndibq4,adobe photoshop cs3 extended [mac],ideal for film video and multimedia professionals and graphic and web designers using 3d and motion as well as professionals in engineering and science adobe photoshop cs3 extended software delivers everything in photoshop cs3 and more. render and incorporate 3d images into your 2d composites. stop time with easy editing of motion graphics on video layers. and probe your images with measurement analysis and visualization tools. the professional standard now comes in two versions& 151;photoshop cs3 and photoshop cs3 extended with additional features and enhancements for specialized image professionals. the clone stamp and healing brush tools now feature an overlay preview of the source areas. the loupe tool in adobe bridge cs3 lets you easily zoom into the fine detail of any image. zoomify export allows you to efficiently display even the highest resolution imagery over low bandwidth web connections. edit 3d and motion-based images adobe photoshop cs3 extended includes key new capabilities that let you incorporate 3d and motion-based content into your image editing workflow. now you can render 3d content into your 2d composites edit existing textures on 3d models and embed your edited models into adobe pdf files for easy collaboration with colleagues. plus you can animate video frames paint and clone over multiple video frames and import and export video files in a wide range of formats. analyze images with precision photoshop cs3 extended helps professionals in manufacturing medicine architecture engineering and scientific research gain more insight from images. measurement and counting tools enable analysis of 2d and 3d images. matlab users can pull image data from photoshop extended into matlab and visualize results of matlab algorithms back in the software. and medical professionals can correct annotate and analyze dicom files. adobe bridge for photoshop cs3 extended features faster performance the filters panel to quickly narrow your view the new loupe tool for close-up inspection of any image and much more. photoshop cs3 extended enables you to open native 3d file formats manipulate the models in 3d space open and edit textures applied to the models and then easily composite the results with 2d images. new features for motion graphics professionals in photoshop cs3 extended include cloning and healing over time with the help of the new clone source palette and preview overlays the enhanced animation palette for time-based editing and native video layers in color depths from 8- to 32-bit. brushes layers and selections are just three of the core editing features now available for 32-bit hdr images exclusively in photoshop cs3 extended. work more productively with improved performance throughout the editing workflow photoshop cs3 extended helps you work more productively--even when editing the most specialized images. experience native performance on both intel and powerpc based macs and on microsoft windows vistaª systems. maximize your workspace with a streamlined interface process raw images with increased speed and quality and manage assets more efficiently in the revamped adobe bridge cs3. composite and edit with unrivaled power leverage the power of the industry standard for the utmost creative control in image editing and compositing. now you can apply filters nondestructively manage and correct color more easily convert color images to rich black-and-white with one click and retouch images with more powerful cloning and healing tools. plus you can enjoy advanced compositing with breakthrough tools for aligning and blending layers automatically and making image selections with one brush stroke. product highlights experience smooth handling of 3d and motion-based content. gain deeper insights from your images with new measurement and analysis tools. boost your productivity with a streamlined interface enhancements to raw-image processing and asset management workflows and more. achieve your vision with unrivaled power to edit composite and experiment. audience benefit film video and multimedia professionals and graphic and web designers using 3d and motion--with adobe photoshop cs3 extended software you can now leverage the power of the photoshop image-editing toolset and paint engine when editing 3d and motion-based content for film video the web and mobile devices. manufacturing and design engineers--with adobe photoshop cs3 extended software you can easily import rotate and create different rendering modes and edit existing textures on 3d models to enhance 3d content or create compelling composites of 2d and 3d content. medical professionals--adobe photoshop cs3 extended software helps you improve patient care with powerful tools for documenting and analyzing treatment and visualizing potential outcomes. architects and engineers--adobe photoshop cs3 extended software helps you communicate your vision clearly and make an impact with all of your drawings and designs. scientific researchers--adobe photoshop cs3 extended software delivers new tools for analyzing and extracting data from images and offers powerful presentation capabilities to help you communicate your discoveries. students and educators--with features designed for professionals in video and motion graphics production manufacturing medicine architecture engineering and scientific research adobe photoshop cs3 extended software is a key new tool for students pursuing careers in these fields and for their instructors. product overview get everything in adobe photoshop cs3 software and more with photoshop cs3 extended which enables you to edit 3d and motion-based content and perform image analysis. edit 3d and motion-based images 3d image editing 3d compositing and texture editing easily render and incorporate rich 3d content into your 2d composites--even edit textures on 3d models directly within photoshop extended and immediately see the results. photoshop extended supports common 3d interchange formats including 3ds obj u3d kmz and collada so you can import view and interact with most 3d models. integration with adobe acrobat 8 software create modify and collaborate on 3d content more easily through tight integration between photoshop cs3 extended and acrobat 3d software. convert myriad 3d cad formats to the robust u3d interchange format enhance models and create composites with photoshop extended and easily embed 3d models created in photoshop extended into pdf files to distribute for review. enhanced vanishing point with 3d support edit in perspective on multiple surfaces--even those connected at angles other than 90 degrees--with the enhanced vanishing point which also lets you measure in perspective; wrap graphics images and text around multiple planes; and output 2d planes as 3d models. video and animation design movie paint enhance video directly within photoshop extended. now you can paint add text and clone over multiple frames of an imported video sequence. smooth animation workflow easily create animations from a series of still images or video frames with a new animation palette that enables onion skinning. broad video format support including quicktime import quicktime movies and most avi and mpeg files and output video and animations to mov avi mpeg-4 flv 3g flc h.264 (ipod) and dv stream. video layers create and edit images for video with maximum quality and a broader range of color models. edit and enhance grayscale rgb cmyk and lab models at 8- 16- and 32-bit depths with color management. analyze images with precision measurement counting and edit-tracking tools 2d and 3d measurement tools extract quantitative information from images with new measurement tools. easily calibrate or set the scale of an image and then use any of the photoshop extended selection tools to define and calculate distance perimeter area and other measurements. record data points in a measurement log and export data including histogram data to a spreadsheet for further analysis. scale marker show scale in images destined for presentation or publication using the scale marker which lets you easily add a scale graphic to any image. use the ruler and count tools to quickly tally image features and measure size and distance. open annotate remove identifying patient metadata prepare for analysis convert to jpeg for presentation and more with new native dicom file support in photoshop cs3 extended. count tool easily and accurately count objects or features in scientific images with the count tool which eliminates the need to perform manual calculations or rely on visual assessments of changes from image to image. history palette and edit history log undo and redo any set of editing steps in an open image with the history palette and automatically track all editing steps within your files with the edit history log. export steps to a text file or save them as part of image metadata for easier documentation of your work file audits and more. support for manufacturing medical and scientific workflows image stacks quickly combine a series of related images and render them into a single view using a wide variety of rendering options such as median and maximum. photoshop extended automatically analyzes and combines the images while preserving the originals. image stacks are extensible so third parties can write their own render modes. dicom support use the comprehensive photoshop extended toolset to import correct annotate analyze and create animations from dicom images. even automatically remove patient information from dicom metadata and batch save jpeg files for presentation purposes. matlab support pass image data directly between photoshop extended and matlab with the ability to call photoshop extended directly from the matlab command line. visualize results of matlab algorithms in the software and combine matlab processing with photoshop extended image editing to render test and refine algorithms for image processing analysis and more. work more productively efficient and flexible work environment streamlined interface and palette management maximize screen space for editing while keeping essential tools accessible. palettes are now arranged in convenient self-adjusting docks that can be widened to full size or narrowed to icons or even a thin self-revealing strip at the edge of your monitor. faster more flexible asset management with adobe bridge cs3 organize and manage images more efficiently with next-generation adobe bridge cs3 software which now delivers improved performance a filter panel for easier searching the ability to group multiple images under a single thumbnail the loupe tool offline image browsing and more. custom menus shortcuts and workspaces set up and save custom menus keyboard shortcuts and workspaces for quick access to what you need. streamlined workflow better raw-image processing process raw images with increased speed and superior conversion quality using the photoshop camera raw plug-in which now adds support for jpeg and tiff formats; new tools including fill light and dust busting; compatibility with adobe photoshop lightroom software; and support for over 150 camera models. enhanced pdf support work more easily with adobe pdf-based content. precisely control the size of pdf pages opened in photoshop extended; add security controls and metadata such as copyright and exposure details to images within pdf presentations; and create a richer image display in pdf presentations and documents. adobe photoshop lightroom jump from adobe photoshop lightroom software to photoshop cs3 extended in one click for advanced editing of your digital images. lightroom (sold separately) offers an efficient powerful way to import manage and present large volumes of digital images. improved printing experience experience better control over print quality with color management a larger print preview window and more controls in one place so you can print in fewer steps. improved printing controls co-developed by adobe and hp make printing easier and more predictable and streamline setup options via integration with select printers from hp epson and canon. presets make sophisticated color adjustments automatically with one-click presets in curves the channel mixer and the new black and white conversion dialog box. peak performance experience native performance on intel and powerpc based macintosh computers and on microsoft windows xp and windows vistaª systems. automated production automate common production tasks in a variety of ways. set up event-based scripts record a series of steps as an action for efficient batch processing and design repetitive graphics faster with variables. wide range of supported formats import and export an even greater range of file formats including psd bmp dicom cineon jpeg jpeg2000 openexr png targa and tiff. adobe device central cs3 visually emulate how your dynamic content will render on mobile devices using the built-in adobe device central cs3. zoomify export for high-resolution web display take advantage of adobe flash and zoomify technology to export high-resolution images to the web for viewing through adobe flash player software. flash player displays your images quickly and efficiently letting viewers zoom in on details with minimal delay. improved integration with other adobe tools enjoy better support for photoshop files in your other adobe software applications (sold separately). copy and paste photoshop files directly into adobe dreamweaver cs3 software projects import them into adobe flash cs3 professional software with high fidelity and preserve layer effects and video layers when you import them into adobe after effects cs3 professional software. third-party solutions and resources take advantage of a wealth of additional resources--including software plug-ins books and training--from the longstanding community of expert photoshop developers authors and trainers. auto-align layers can automatically connect a series of photos into a panorama (left). auto-blend layers can then seamlessly blend lighting and texture to complete the perfect composite image (right). composite and edit with unrivaled power maximize screen space for editing while keeping essential tools accessible. faster performance highest quality conversion and new lighting controls are some of the new hallmarks of camera raw in photoshop cs3. simple intuitive point-and-click monochrome conversion is yours with the new black and white adjustment. the new print interface in photoshop cs3 gathers all of the options you need in one easier-to-use dialog box. nondestructive editing smart filters add adjust and remove filters from an image without having to resave the image or start over to preserve quality. nondestructive smart filters allow you to visualize changes without altering original pixel data. smart objects perform nondestructive scaling rotating and warping of raster and vector graphics with smart objects. even preserve the editability of vector data from adobe illustrator software. professional color and tone control color-correction enhancements take advantage of precision color correction made faster and easier. brightness/contrast now provides better results from the same intuitive interface and enhanced curves controls let you make automatic adjustments with included presets or those you create; convert to black-and-white with point sliders; and use a histogram color channel lines and a clipping preview. black-and-white conversion easily convert color images to rich black-and-white and adjust tonal values and tints with a new tool. experiment with the included black-and-white presets or create and save your own custom presets to achieve the best results. improved channel mixer take advantage of new functionality and a host of presets that make the channel mixer easier to use for black-and-white conversion. enhanced 32-bit high dynamic range (hdr) support create and edit 32-bit images and combine multiple exposures into a single 32-bit image that preserves the full range of a scene--from the deepest shadows to the brightest highlights. new image-processing and alignment algorithms deliver superior results. and with photoshop cs3 extended you can even edit 32-bit images using brushes filters blending modes transformations selections tools aspect ratios and more. intelligent image editing and enhancement more powerful cloning and healing tools experience greater control when retouching images with cloning tools and the healing brush. clone images over time; see source pixels under your tool or brush for more precise positioning; preview changes to source content live; and set multiple source points scale and rotate in the new clone source palette. rich painting and drawing toolset create or modify images with a wide assortment of professional fully customizable paint settings artistic brushes and drawing tools. + = the faster route to perfect composites& 151;auto-align layers takes the effort out of perfectly lining up the contents of multiple layers while auto-blend layers completes the task of blending together the texture and lighting from many layers into one. easy compositing and selecting advanced compositing create more accurate composites by automatically aligning multiple photoshop layers or images based on similar content. the auto-align layers command quickly analyzes details and moves rotates or warps layers to align them perfectly and the auto-blend layers command blends the color and shading to create a smooth editable result. improved photomerge technology take advantage of refined photomerge technology which uses new layer-alignment and layer-blending capabilities to let you automatically stitch horizontal or vertical photos into seamless panoramas. quick selection and refine edge tools make selections in a snap. loosely draw on an image area and the quick selection tool automatically completes the selection for you. then preview and fine-tune your selections with the refine edge tool. flexible layers composite images text and effects on hundreds of layers for extraordinarily sophisticated results. organize layers with up to five levels of nesting and save them in different combinations as layer comps. which edition of photoshop cs3 is right for you? photoshop cs3 is available in two editions--photoshop cs3 and photoshop cs3 extended--to meet the diverse needs of professionals in a wide range of fields. adobe photoshop cs3 adobe photoshop cs3 extended builds on photoshop cs2 with dozens of improvements increased productivity with a streamlined interface camera raw enhancements next-generation adobe bridge cs3 and zoomify export unrivaled editing power with live filters more precise color correction easier black-and-white conversion and more powerful cloning and healing tools breakthrough compositing with automatic layer alignment and blending capabilities easier selections and improved photomerge® technology 3d and motion support with the ability to edit 3d content and incorporate it into 2d compositions paint and clone over multiple video frames and more comprehensive image analysis with new image measurement and counting tools,adobe,999.0
b000pihtec,weekly reader preparing for kindergarten,,fogware publishing,19.99
b0002h6x34,reader rabbit preschool,reader rabbit learning system - preschool kindergarten and 1st grade are three new grade-based products from the number 1 educational software brand! they are an integrated program designed to teach your child essential developmental skills through a unique combination of proven learning techniques and complementary learning aids such as flash cards printable activities and stickers.,the learning company,29.99
b000e8jl7q,adobe after effects 7.0 professional (mac),adobe after effects 7.0 mac pb sofware sets new standards for motion graphics and visual effects.,adobe,999.0
b000qtu1ay,portfolio media kit be syst recovery 7.0 win small business ed,be sys recovery 7.0 win sbs ed media cd m/l,symantec,50.0
b000aa8796,aquarium 3-in-one collection (win/mac),so vibrant and realistic you won&rsquo;t believe your eyes!&nbsp;product informationexperience the 1 selling screensaver of all time marine aquarium plusgoldfish aquarium and sharks.&nbsp; gorgeous details have gone into creating thehigh-resolution 3d fi,encore software,19.99
b0007d8r5k,restricted area,restricted area is an incredible combination of action gaming and deep role-playing. four very different people meet as they're trying to change their lives. choose one of these four to play -- and enter their dystopian world for a complex twisting story that involves a dark secret and a very large corporation. the advanced ai uses group tactics to react to your character's visible strength the weapon in their hands and more -- you'll have to think to survive cooperative multiplayer mode,whiptail,19.99
b000kmehha,podmaxx '07,apple designed the ipod experience in a ?walled garden' format funneling users to their itunes store to buy their music and make it difficult to buy music elsewhere. podmaxx ?07 offers a real solution to this problem enabling ipod owners to buy music anywhere they like for the best price no matter how eclectic their taste. not only can podmaxx ?07 let ipod owners buy ipod music anywhere you can also copy music and playlists from any ipod to their pc create free ringtones from any music fil collection transfer any dvd to their ipod burn music to cd directly from any ipod turn an ipod into a portable hard drive to backup valuable data sync email and contacts (including outlook) view the latest news weather movie start times and their locations ? all with one application. podmaxx ?07 is the perfect digital music companion for itunes and your ipod. podmaxx ?07 organizes your music videos and photos and fixes mislabeled songs. rip and watch your dvd movies anywhere. read your email on your morning commute. burn cds right off any ipod connected to your pc. use your ipod as portable storage device and backup your pc. burn audio cds straight from any ipod - not only can you copy everything off your ipod back to your pc but you can also burn any music files from your ipod striaght to cd. podmaxx automatically formats the files for burning to the cd format that plays in any cd player carry hours of dvd movies in your pocket burn files to cd straight off their ipod protect music collections from loss with full pc backup carry news weather movie info backup an entire pc system requirements - windows 2000 or xp; itunes 4.7 or later installed; microsoft. net framework 1.1 installed supports apple ipod - mini (4 & 6 gb) as well as all 10 20 & 60 gb ipods and nano,bling,29.99
b0006g2vk0,microsoft licenses word olp c (05903871),model-059-03871 vendor- microsoft corporation features- word olp c microsoft word license/software assurance pack olp level c microsoft word is currently one of the most commonly used applications for creating critical documents such as reports letters business plans and more for the world wide web and for print. the newest version of word extends this tradition by giving users the tools they need to streamline the process of creating sharing reviewing and publishing their important documents. word version 2002 makes it easier for users to discover and use existing functionality and provides intelligent new ways for users to work with their documents. word now also makes it easier for users to share and review documents with others without changing the way they currently work. microsoft open volume license is a software-license program designed for maximum flexibility ease of use and ease of maintenance. with microsoft open volume you purchase as many licenses as you need for whichever microsoft products you prefer. in most cases you have the choice of which version of the software you wish to,microsoft licenses,205.73
b000qgixde,the guild 2 - pirates of the seas,the guild 2: pirates of the seas is the first true life simulation series that brings you into the age of piracy. it's a fascinating realistic look at a dangerous & thrilling era in history. in this expansion to the original guild you'll add a huge new playing area and new like the hanse located at the shores of the european seas. sea battles and naval trading are added to the gameplay and a new campaign mode provides more than 10 hours of additional fun. new professions - pirate and medicus,dreamcatcher interactive,29.99
b000a3ky4e,researchsoft endnote 9 student edition for students [old version],endnote 9 win student edition - for students only,isi researchsoft,109.99
b000b0gzu8,phonics success deluxe 2006 (large box),from learning consonants vowels and their assembly into words phonics is a cognitive approach to reading. using 11 actrivity-based lessons your child can learn to read easily and actually find reading to be fun. it's a great way to stimulate and extend an active approach to reading throughout your child's life.,topics entertainment,49.99
b000enucvk,clickart fonts (2006) by encore,create one-of-a-kind projects with the makers of the 1 desktop publishing software with:3 500 decorative true type fonts120 scrapbook fonts330 handwriting fonts13 000 headlines and images2 100 alphabetsadvanced search features make finding the clip art you need quick and easy:locate fonts quickly with the powerful browserview thumbnails of the selected fonts or imageschoose from a wide variety of beautifully detailed iconscreate fun projects in 3 easy stepsselect your imageuse the advanced drawing tool to edit the image colorsinsert your message using unique fonts and create your projectcustomize any image with drawing and photo editing tools to create projects that are uniquely yours. work on projects like:scrapbooksbookletsannouncementsschool projectsgreeting cardsweb pages and more,encore software,19.99
b000bnkbdm,sound studio 3: record edit add effects to audio (mac),sound studio 3 is an easy-to-use mac os x application for recording and editing audio digitally on your computer. digitize vinyl records and tapes record live performances create your own mixes with crossfades tweak the levels and eq apply digital and save in all major file formats with sound studio. a perfect accessory to create and customize your own itunes tracks!,freeverse software,79.99
b0006b64v2,star wars battlefront (mac),star wars battlefront gives you a chance to play a soldier during the wars in the star wars galaxy. battle for freedom or dominance across 10 unique worlds. use authentic star wars weapons and vehicles -- from x-wings to snow speeders. experience true online chaos as you fight the great battles of the star wars universe! in conquest mode players who capture planets will gain specific advantages over their rivals - adding to the strategic challenge exciting online play for up to 16 players,aspyr media,39.99
b000qjrska,flyboys squadron mac,flyboys squadron is authentic world war i fighter place action! follow a small group of daring young men became history's first fighter pilots. all the thrills of danger of wwi-era flight and combat come to life in these cinematic missions. free voip servers; one full month of free mmo play,ientertainment,29.99
b000o27t8a,adobe creative suite cs3 design premium upgrade [mac],upgrade only; previous version of cs premium standard or studio required adobe creative suite 3 design premium software is the designer's dream toolkit for print web and mobile publishing. it combines all-new versions of essential tools for professional page layout image editing illustration and adobe pdf workflows with new tools for producing engaging websites interactive experiences and mobile content -- all in a unified intuitive design environment. it's productive intuitive and tightly integrated environment with everything you need to design content for tomorrow as well as today. import layered photoshop and illustrator files into flash animate them and export in actionscript 3.0 for developers preview and test your designs using mobile device profiles in adobe devicecentral cs3 easily organize browse locate and preview assets with adobe bridge cs3 use indesign for direct access to adobe stock photos export indesign layouts as xhtml to use in web designs in dreamweaver,adobe,599.0
b0002b0qfg,imsi resume writer deluxe [lb],write the perfect resume!product informationresume writer deluxe is a powerful and cost-effectivedo-it-yourself resume-creation and management program. no matterwhat your job search situation is resume writer deluxe places at your disposalth,imsi design,19.95
